FALSE,f O l s,all,f O l s,f O1 l s,"Erlent, Óviss"
about,a p au t,standard_clear,a.p au t,a0. p au1 t,Erlent
about,a p au t_h,north_clear,a.p au t_h,a0. p au1 t_h,Erlent
adebayor,a: t E p ai O r,all,a:.t E.p ai.O r,a:1. t E0. p ai1. O0 r,Erlent
adhd,a t j E h au t j E,all,a.t j E.h au.t j E,a1. t j E0. h au1. t j E0,Skammstöfun
adrian,a t r i a n,all,a.t r i.a n,a1. t r i0. a0 n,Erlent
adrian,ei t ri a n,all,ei.t r i.a n,ei1. t r i0. a0 n,"Erlent, Óviss"
afborgunum,a v p O r k Y n Y m,all,a v.p O r.k Y.n Y m,a1 v. p O0 r. k Y1. n Y0 m,
afdráttarlaust,a v t r au h t a r l 9i s t,all,a v.t r au h.t a r.l 9i s t,a1 v. t r au0 h. t a0 r. l 9i1 s t,
afgangi,a v k au J c I,all,a v.k au J.c I,a1 v. k au0 J. c I0,
afganistans,a v k a n I s t a n s,all,a v.k a.n I s.t a n s,a1 v. k a0. n I1 s. t a0 n s,
afhentur,a f h E n t_h Y r,northeast_clear,a f.h E n.t_h Y r,a1 f. h E0 n. t_h Y0 r,
afhentur,a f h E n_0 t Y r,standard_clear,a f.h E n_0.t Y r,a1 f. h E0 n_0. t Y0 r,
afkoman,a v k_h O m a n,all,a v.k_h O.m a n,a1 v. k_h O0. m a0 n,
afkomendum,a v k_h O m E n t Y m,all,a v.k_h O.m E n.t Y m,a1 v. k_h O0. m E1 n. t Y0 m,
afköst,a v k_h 9 s t,all,a v.k_h 9 s t,a1 v. k_h 90 s t,
afmarkað,a v m a r_0 k a D,all,a v.m a r_0.k a D,a1 v. m a0 r_0. k a0 D,
afmælis,a v m ai l I s,all,a v.m ai.l I s,a1 v. m ai0. l I0 s,
afsala,a f s a l a,all,a f.s a.l a,a1 f. s a0. l a0,
afstýra,a f s t i r a,all,a f.s t i.r a,a1 f. s t i0. r a0,
aftenposten,a f t E n p_h ou s t E n,all,a f.t E n.p_h ou s.t E n,a1 f. t E0 n. p_h ou1 s. t E0 n,Erlent
aksturs,a k s t Y r_0 s,all,a k s.t Y r_0 s,a1 k s. t Y0 r_0 s,
akureyringa,a: k Y r ei r i N k a,standard_clear,a:.k Y.r ei.r i N.k a,a:1. k Y0. r ei1. r i0 N. k a0,
