WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
abbadísin	a p a t i s I n	n	all	true	none	false	IS	true	""
abbast	a p a s t	so	all	false	none	false	IS	true	""
adda	a t a	ns	all	false	none	false	IS	true	""
adolfs	a: t O l f s	ns	standard_clear	false	modifier	false	IS	true	""
adolfs	a: t O l s	ns	standard_cas	false	modifier	false	IS	true	""
adolfsson	a: t O l f s O n	ns	standard_clear	true	none	false	IS	true	""
adolfsson	a: t O l s O n	ns	standard_cas	true	none	false	IS	true	""
af	a: f	ao	all	false	none	false	IS	true	""
afa	a: v a	n	all	false	both	false	IS	true	""
afar	a: v a r	n	all	false	both	false	IS	true	""
afbragð	a v p r a G D	n	all	false	none	true	IS	true	""
afbragðsfólk	a v p r a G D s f ou l_0 k	n	standard_clear	true	none	false	IS	true	""
afbragðsfólk	a v p r a G D s f ou l k_h	n	northeast_clear	true	none	false	IS	true	""
afbrigði	a v p r I G D I	n	all	false	both	true	IS	true	""
afbrigðilegrar	a v p r I G D I l E G r a r	lo	all	false	none	true	IS	true	""
afbrigðilegt	a v p r I G D I l E x t	lo	all	false	none	true	IS	true	""
afbrot	a v p r O t	n	standard_clear	false	head	true	IS	true	""
afbrot	a v p r O t_h	n	north_clear	false	head	true	IS	true	""
afdrep	a v t r E p	n	standard_clear	false	none	true	IS	true	""
afdrep	a v t r E p_h	n	north_clear	false	none	true	IS	true	""
afdrifarík	a v t r I v a r i k	lo	standard_clear	true	none	true	IS	true	""
afdrifarík	a v t r I v a r i k_h	lo	north_clear	true	none	true	IS	true	""
afdráttarlaus	a v t r au h t a r l 9i s	lo	all	true	none	true	IS	true	""
affalla	a f a t l a	n	all	false	both	true	IS	true	""
affalls	a f a l s	n	all	false	modifier	true	IS	true	""
afferma	a f E r m a	so	all	false	none	true	IS	true	""
afföll	a f 9 t l_0	n	all	false	none	true	IS	true	""
afföllin	a f 9 t l I n	n	all	false	none	true	IS	true	""
afgang	a v k au N k	n	all	false	head	true	IS	true	""
afgangateppi	a f k au N k a t_h E h p I	n	all	true	none	true	IS	true	""
afganginn	a v k au J c I n	n	all	false	head	true	IS	true	""
afgangur	a v k au N k Y r	n	all	false	head	true	IS	true	""
afganistan	a v k a n I s t a n	ns	all	false	modifier	false	IS	true	""
afgreidd	a v k r ei t	so	all	false	none	true	IS	true	""
afgreiddi	a v k r ei t I	so	all	false	none	true	IS	true	""
afgreiða	a v k r ei D a	so	all	false	none	true	IS	true	""
afgreiðsla	a v k r ei D s t l a	n	all	false	head	true	IS	true	""
afgreiðslu	a v k r ei D s t l Y	n	all	false	both	true	IS	true	""
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t	n	all	true	none	true	IS	true	""
afgreiðslunefnd	a f k r ei D s t l Y n E m t	n	all	true	none	false	IS	true	""
afgreiðslustelpan	a v k r ei D s t l Y s t E l p_h a n	n	northeast_clear	true	none	true	IS	true	""
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n	n	standard_clear	true	none	true	IS	true	""
afhenda	a f h E n t a	lo	all	false	none	true	IS	true	""
afhenda	a f h E n t a	so	all	false	none	true	IS	true	""
afhending	a f h E n t i N k	n	all	false	head	true	IS	true	""
afhendingar	a f h E n t i N k a r	n	all	false	both	true	IS	true	""
afhenta	a f h E n t_h a	so	northeast_clear	false	none	true	IS	true	""
afhenta	a f h E n_0 t a	so	standard_clear	false	none	true	IS	true	""
afhentar	a f h E n t_h a r	so	northeast_clear	false	none	true	IS	true	""
afhentar	a f h E n_0 t a r	so	standard_clear	false	none	true	IS	true	""
afhenti	a f h E n t_h I	so	northeast_clear	false	none	true	IS	true	""
afhenti	a f h E n_0 t I	so	standard_clear	false	none	true	IS	true	""
afhentir	a f h E n t_h I r	so	northeast_clear	false	none	true	IS	true	""
afhentir	a f h E n_0 t I r	so	standard_clear	false	none	true	IS	true	""
afhomma	a f h O m a	so	all	false	none	true	IS	true	""
afhöggvinn	a f h 9 k v I n	lo	all	false	none	true	IS	true	""
afi	a: v I	n	all	false	head	false	IS	true	""
afkastamikill	a v k_h a s t a m I c I t l_0	lo	standard_clear	true	none	true	IS	true	""
afkastamikill	a v k_h a s t a m I c_h I t l_0	lo	north_clear	true	none	true	IS	true	""
afklæddist	a v k_h l ai t I s t	so	all	false	none	true	IS	true	""
afklæðast	a v k_h l ai D a s t	so	all	false	none	true	IS	true	""
